cartodb_id,countyfp,statefp,statename,countyname,countyfips,tractname,ratio,statemhir,tractmhir,cty_pop200,cz,cz_name,cz_pop2000,state_id,le_agg_q1,le_raceadj,le_agg_q2,le_racea_1,le_agg_q3,le_racea_2,le_agg_q4,le_racea_3,le_agg_q11,le_racea_4,le_agg_q21,le_racea_5,le_agg_q31,le_racea_6,le_agg_q41,le_racea_7,sd_le_agg,sd_le_race,sd_le_agg1,sd_le_ra_1,sd_le_ag_1,sd_le_ra_2,sd_le_ag_2,sd_le_ra_3,sd_le_ag_3,sd_le_ra_4,sd_le_ag_4,sd_le_ra_5,sd_le_ag_5,sd_le_ra_6,sd_le_ag_6,sd_le_ra_7,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M,Diversity,BlackorA,AmericanI,Asianalon,NativeHaw,TwoorMor,Hispanico,Whitealon,county,geometry
398.0,213,48,Texas,"Henderson County, Texas",48213.0,"Census Tract 9509.01, Henderson County, Texas",0.752,52576.0,39558.0,73277.0,33300.0,Tyler,434643.0,48.0,81.33939,81.69736,82.77975,83.1631,86.20832,86.53061,85.37238,85.73277,74.46993,74.90141,78.81706,79.19968,81.65376,82.07423,83.11811,83.45219,0.5907173,0.5672838,0.7558215,0.7267162,0.8259727,0.7849455,1.290979,1.239241,0.4536277,0.4523053,0.6074929,0.5974237,0.7985667,0.7720352,1.091163,1.058647,65946.0,50915.0,43472.0,27391.0,56088.0,50789.0,41193.0,23997.0,0.350927,6.6,0.8,0.6,0.1,1.6,11.8,79.4,County,
647.0,005,24,Maryland,"Baltimore County, Maryland",24005.0,"Census Tract 4209, Baltimore County, Maryland",0.485,74149.0,35996.0,754292.0,11302.0,Baltimore,2512431.0,24.0,81.00573,81.64223,83.2253,83.71624,84.97765,85.38557,87.48778,87.66544,74.87498,75.61564,78.85033,79.43711,81.48167,81.95025,84.86589,85.12315,0.2760596,0.2727309,0.2682924,0.2682079,0.2646567,0.260372,0.2741327,0.2701159,0.2183265,0.2234235,0.2223854,0.2221517,0.2452043,0.2439218,0.2510692,0.2477703,348801.0,506959.0,554835.0,620077.0,314133.0,417941.0,487826.0,577610.0,0.552251,27.5,0.4,5.7,0.1,2.3,4.8,60.5,County,
712.0,031,13,Georgia,"Bulloch County, Georgia",13031.0,"Census Tract 1104.03, Bulloch County, Georgia",0.367,49342.0,18103.0,55983.0,8702.0,Statesboro,111346.0,13.0,82.87151,84.09408,81.56238,82.29461,87.26794,87.59277,87.71574,87.86391,74.25021,75.58818,80.37264,81.07909,81.39969,81.8803,84.82716,85.02849,0.8563169,0.8145575,1.294025,1.256831,1.237927,1.191608,1.30402,1.265734,0.6561423,0.669405,1.005267,0.9746791,1.240342,1.21029,1.347847,1.31348,36569.0,25216.0,23776.0,20114.0,29896.0,24472.0,23160.0,18911.0,0.497338,28.9,0.4,1.6,0.1,1.6,3.6,64.6,County,
722.0,179,13,Georgia,"Liberty County, Georgia",13179.0,"Census Tract 102.05, Liberty County, Georgia",1.044,49342.0,51497.0,61610.0,8701.0,Hinesville,131279.0,13.0,80.41011,81.27271,81.15737,81.55753,84.66052,85.19653,87.58868,87.69944,72.70919,74.16271,79.1208,79.76913,78.92409,79.63135,79.45534,79.81433,1.050722,1.03244,1.283218,1.259035,1.214902,1.176059,1.854852,1.841173,0.7279044,0.7580916,1.038904,1.027062,1.099227,1.097501,1.450326,1.433941,37850.0,31745.0,28845.0,13429.0,25824.0,34408.0,30018.0,12118.0,0.63442,40.9,0.8,2.4,0.5,4.3,11.6,42.7,County,
805.0,017,25,Massachusetts,"Middlesex County, Massachusetts",25017.0,"Census Tract 3521.01, Middlesex County, Massachusetts",0.969,67846.0,65711.0,1465396.0,20500.0,Boston,4974945.0,25.0,83.72817,83.51888,84.79338,84.87065,86.04283,86.16795,88.10573,88.1528,77.95573,77.88895,80.5099,80.7057,83.05364,83.29926,86.19845,86.36277,0.2337793,0.2349071,0.2364842,0.2395476,0.2171295,0.218142,0.1747276,0.1781089,0.2005993,0.2004839,0.207422,0.2071757,0.2091055,0.2105385,0.1681607,0.1705858,512749.0,713159.0,938920.0,1696220.0,500587.0,652933.0,857965.0,1645708.0,0.410254,5.4,0.3,10.5,0.1,2.1,7.3,75.5,County,
894.0,027,27,Minnesota,"Clay County, Minnesota",27027.0,"Census Tract 205, Clay County, Minnesota",0.925,60828.0,56268.0,51229.0,26801.0,Fargo,206945.0,27.0,82.58788,82.90469,85.43519,85.68008,86.66488,86.96397,85.30056,85.78986,75.81297,76.09624,82.20786,82.44881,84.50808,84.81245,85.93463,86.30762,1.104885,1.053041,1.164113,1.122701,1.305433,1.250562,1.558472,1.490878,0.8540005,0.8385192,0.8889403,0.8656325,1.076895,1.043453,1.395724,1.328699,22846.0,30033.0,40960.0,25644.0,21088.0,33110.0,40520.0,23981.0,0.189081,1.6,1.5,1.4,0.0,2.1,4.0,89.9,County,
1023.0,057,53,Washington,"Skagit County, Washington",53057.0,"Census Tract 9526, Skagit County, Washington",0.89,60294.0,53688.0,102979.0,39400.0,Seattle,3775744.0,53.0,82.70051,82.95398,84.96236,85.24734,87.01344,87.2229,88.6851,88.61131,77.784,77.97849,81.85061,82.13266,82.83759,83.13016,86.39265,86.51894,0.7290478,0.6945552,0.6884204,0.6517736,0.6584044,0.6254405,0.6736671,0.6726828,0.5631136,0.5502585,0.6125799,0.5927915,0.644738,0.6264073,0.7264341,0.7073411,63571.0,72833.0,83568.0,66890.0,57154.0,74710.0,84800.0,61153.0,0.392359,0.9,2.7,2.1,0.3,2.9,17.6,75.8,County,
1027.0,077,53,Washington,"Yakima County, Washington",53077.0,"Census Tract 15.02, Yakima County, Washington",0.451,60294.0,27188.0,222581.0,39000.0,Yakima,255943.0,53.0,83.11027,82.43893,84.52144,84.33183,85.92249,85.77136,86.88403,86.83201,79.17978,78.47038,80.48532,80.17828,83.11472,82.91361,86.0238,85.89287,0.4084449,0.4034191,0.5610732,0.5470096,0.6478392,0.6404009,0.7774979,0.7634481,0.3629211,0.357563,0.4650394,0.4611721,0.5946363,0.5896752,0.6705912,0.6665422,147299.0,134136.0,118499.0,77138.0,151841.0,144218.0,113313.0,70875.0,0.565561,1.5,5.9,1.4,0.2,2.8,47.0,45.7,County,
1120.0,037,47,Tennessee,"Davidson County, Tennessee",47037.0,"Census Tract 160, Davidson County, Tennessee",0.444,44621.0,19803.0,569891.0,5600.0,Nashville,1246338.0,47.0,79.84049,80.82626,82.82059,83.34434,85.29613,85.76603,86.84618,87.17747,74.25792,75.27711,78.61375,79.20679,81.5022,82.03166,84.94603,85.29449,0.2916298,0.2917447,0.315163,0.3078636,0.3335243,0.3205143,0.3971356,0.3808385,0.2192371,0.2332424,0.2845436,0.2865536,0.3131318,0.3070303,0.3516457,0.3419646,373946.0,414614.0,330550.0,294926.0,385277.0,346630.0,293915.0,278551.0,0.583618,28.1,0.5,3.2,0.1,2.3,9.9,57.1,County,
1125.0,073,47,Tennessee,"Hawkins County, Tennessee",47073.0,"Census Tract 506.02, Hawkins County, Tennessee",1.187,44621.0,52946.0,53563.0,100.0,Johnson City,576081.0,47.0,81.59071,81.95074,83.04972,83.52511,85.77058,86.16447,84.5067,84.8504,74.80889,75.21648,80.63206,81.09037,84.1562,84.52449,80.78426,81.20786,0.7034281,0.6805997,0.8793424,0.8413464,1.187552,1.129081,2.127805,2.058263,0.5388839,0.5368955,0.6806979,0.666345,0.9218755,0.8882756,1.608039,1.594195,46072.0,42179.0,33778.0,10210.0,43253.0,47057.0,32772.0,9222.0,0.087426,1.5,0.3,0.5,0.0,1.1,1.3,95.5,County,
